x,y,wl,wr
39.06721371,-47.03152792,4.624499942,4.624499942
38.43955432,-46.25303984,4.608019998,4.608026673
37.8136428,-45.47313923,4.589414012,4.590082538
37.17021333,-44.7076431,4.587948911,4.587854669
36.52573858,-43.94301482,4.586777616,4.586915545
35.88128711,-43.17837033,4.585293626,4.585369748
35.23702325,-42.41356684,4.584121558,4.584191594
34.5929781,-41.64857941,4.583127119,4.583194581
33.94854001,-40.8839229,4.581668982,4.581793974
33.30310957,-40.12010386,4.579172673,4.579353114
32.65756114,-39.35638455,4.576680749,4.576801521
32.01408685,-38.59091672,4.576542773,4.576433258
31.37471182,-37.82202178,4.580730978,4.580339377
30.73873771,-37.05031139,4.588322715,4.587771437
30.10396954,-36.27760872,4.597017014,4.596466549
29.4685298,-35.50545827,4.604827989,4.60435837
28.83255545,-34.73374808,4.611489349,4.611090377
28.19689788,-33.96177692,4.617309963,4.61695079
27.56183327,-33.18931791,4.622948423,4.622575629
26.92655804,-32.41703208,4.629273695,4.628825969
26.29026947,-31.64558096,4.636952946,4.63641812
25.65320898,-30.87476714,4.645485945,4.644928949
25.0159056,-30.10415414,4.653844256,4.653317123
24.37802821,-29.33401622,4.661848001,4.661320917
23.73802712,-28.56564217,4.670336221,4.669743177
23.09440544,-27.8002984,4.679687888,4.679061895
22.44742856,-27.0377888,4.688448038,4.687909232
21.79858528,-26.27686672,4.69530918,4.694906965
21.14952398,-25.51613061,4.700545953,4.700202983
20.50038782,-24.75545838,4.706061997,4.705635523
19.8504945,-23.99543293,4.713327811,4.712786972
19.20041586,-23.23556604,4.721276768,4.720779437
18.55275592,-22.47363637,4.726670257,4.726468617
17.91013394,-21.70745309,4.726546463,4.726734403
17.27177185,-20.93771689,4.721716917,4.722137623
16.63487884,-20.16676465,4.715126812,4.715559023
15.997109,-19.39653767,4.709566473,4.709892505
15.35857037,-18.62694789,4.705442644,4.705687661
14.72016105,-17.85725085,4.702083389,4.702317571
14.08184965,-17.0874726,4.698154364,4.698459148
13.44264171,-16.31843864,4.692665316,4.693093767
12.80157148,-15.55095644,4.68503416,4.685593511
12.15871423,-14.78497043,4.675695966,4.676344257
11.51455748,-14.02007692,4.665284829,4.665981443
10.86956864,-13.25588494,4.654376814,4.655092551
10.22422452,-12.49199295,4.643236647,4.643965977
9.579196383,-11.72783412,4.631851067,4.632602695
8.935040529,-10.96293986,4.620027962,4.620821058
8.291481682,-10.19754323,4.607463039,4.608308212
7.647768702,-9.432276209,4.594148444,4.595035398
7.003505727,-8.667472178,4.58046908,4.581349275
6.359601236,-7.902366299,4.567582373,4.568377464
5.717289635,-7.135922667,4.556676694,4.55731993
5.077266169,-6.367567332,4.548488488,4.548963831
4.438849829,-5.597876102,4.542746637,4.54307642
3.801133065,-4.827605158,4.539056354,4.539271273
3.163693251,-4.057105005,4.536665675,4.536826203
2.52660177,-3.286316808,4.534528576,4.534710533
1.889823016,-2.515270237,4.531769257,4.531989203
1.252715513,-1.744495279,4.528993277,4.529170389
0.61461011,-0.974546259,4.527566826,4.527609346
-0.024787235,-0.205669786,4.528297503,4.528206479
-0.66555381,0.562065973,4.530190906,4.53006251
-1.307996484,1.328399729,4.531750211,4.531677386
-1.952384323,2.093098556,4.531921415,4.531936688
-2.598303568,2.856504302,4.530848636,4.530928679
-3.245116719,3.619152811,4.52890753,4.529031212
-3.892338262,4.381454769,4.526427835,4.5265784
-4.539736149,5.143606969,4.52362632,4.523791731
-5.187112013,5.905777875,4.520707086,4.520873996
-5.834399098,6.66802418,4.517895437,4.518048278
-6.481655913,7.430296188,4.515442876,4.515562686
-7.128915383,8.192565942,4.513607485,4.513685424
-7.775679794,8.955255782,4.512342787,4.512396595
-8.421066863,9.719111501,4.511306641,4.5113701
-9.064346732,10.4847426,4.510036888,4.510134561
-9.705915831,11.25180785,4.508428396,4.50854487
-10.34674567,12.01949081,4.506815464,4.506922846
-10.98791243,12.78689239,4.505249482,4.505365613
-11.63016674,13.553384,4.502971714,4.503156499
-12.27410323,14.31846295,4.498982291,4.499303088
-12.9205646,15.08140966,4.492122227,4.492649473
-13.57063752,15.84128156,4.48128407,4.48208248
-14.22501659,16.59744815,4.465921158,4.466965224
-14.88244025,17.35096932,4.447514235,4.448681959
-15.5410639,18.10344184,4.427994834,4.429167804
-16.19925753,18.85629053,4.40901531,4.410123739
-16.85636027,19.61009155,4.39120874,4.39223069
-17.51199073,20.36517348,4.374979317,4.375892662
-18.16633138,21.12137338,4.360007351,4.36090097
-18.82205707,21.87637255,4.343332433,4.344411447
-19.48251918,22.62723214,4.321409923,4.322871065
-20.1501945,23.3716845,4.291768074,4.293631092
-20.82400572,24.1105881,4.255695227,4.257802089
-21.50195038,24.84570102,4.21525929,4.217461653
-22.18222231,25.57866086,4.172303519,4.174498854
-22.86374713,26.31045585,4.128031439,4.13014953
-23.54567775,27.04187272,4.083568779,4.085547246
-24.22739398,27.7734894,4.039772557,4.041585179
-24.9091364,28.50508169,3.996707565,3.99834859
-25.59138577,29.23620125,3.954337614,3.955791693
-26.27453473,29.9664803,3.912692797,3.913950201
-26.95845883,30.69603347,3.871739391,3.872816038
-27.64278812,31.42520658,3.831269988,3.83219257
-28.32716698,32.15433316,3.790996213,3.791802792
-29.01122969,32.88375637,3.750339756,3.751085491
-29.69458399,33.61384328,3.70864324,3.709378636
-30.37692165,34.34488042,3.665567401,3.666288426
-31.05819276,35.07691163,3.621670616,3.622324879
-31.73839632,35.80993489,3.57766609,3.578213459
-32.41786167,36.54364249,3.533771103,3.534197768
-33.09781035,37.27690219,3.48901689,3.489312595
-33.77961056,38.00844063,3.442285819,3.442411327
-34.46300848,38.7384867,3.394069183,3.393968121
-35.14394547,39.4708287,3.348605619,3.348294523
-35.81777509,40.20971547,3.31064344,3.310200391
-36.48253345,40.95677388,3.282241498,3.281720091
-37.14231602,41.70823044,3.259395438,3.2587956
-37.80207958,42.4597037,3.237365275,3.236653047
-38.46487055,43.20850816,3.213814734,3.212915304
-39.13016661,43.9550878,3.190510701,3.189332567
-39.79703717,44.70026137,3.169519663,3.168041208
-40.46466753,45.44475428,3.150919828,3.149258012
-41.1329403,46.18867061,3.132475148,3.130805998
-41.80186272,46.93200283,3.111983667,3.110371614
-42.4709698,47.67516885,3.090496749,3.088826929
-43.13867013,48.41959901,3.072310165,3.070394822
-43.80313236,49.16692086,3.061490076,3.059379979
-44.46187261,49.9192913,3.056657066,3.054796894
-45.11263038,50.67857669,3.052076671,3.051072399
-45.75363958,51.4461099,3.042477167,3.042490338
-46.38809205,52.21907178,3.028829196,3.029236784
-47.02206721,52.99242518,3.015889776,3.015974865
-47.65963083,53.7628229,3.006422502,3.005975626
-48.30086439,54.53016866,3.000071496,2.999187227
-48.94515482,55.29494957,2.996427287,2.995185437
-49.59158277,56.05792461,2.994789321,2.99332245
-50.23894772,56.82010478,2.99438888,2.992839174
-50.88600989,57.58254202,2.994546048,2.993036639
-51.53188183,58.34598779,2.994683453,2.993300278
-52.17679552,59.1102432,2.993324492,2.992149317
-52.82155102,59.87463207,2.988597066,2.987642166
-53.46718663,60.63827771,2.980197271,2.979364314
-54.11123603,61.40326161,2.97247297,2.971660462
-54.74953339,62.17305149,2.971312872,2.970488228
-55.3781519,62.95076531,2.980893312,2.980082694
-55.99800548,63.7354828,2.999756325,2.998979507
-56.61177811,64.52496564,3.024739738,3.024011926
-57.22201057,65.31718805,3.05299626,3.052322384
-57.83018556,66.11099103,3.082794474,3.082180138
-58.43761598,66.90536392,3.112848155,3.112246454
-59.04587471,67.69910274,3.142661389,3.14197191
-59.65555852,68.49174746,3.172964547,3.172103559
-60.2666466,69.28331007,3.204439354,3.203424503
-60.87826356,70.07446409,3.236745661,3.235704168
-61.48970686,70.86575234,3.269124763,3.268107841
-62.1014343,71.65682095,3.301852409,3.300702364
-62.71512199,72.44636981,3.336485593,3.334928234
-63.33203088,73.23340439,3.374326413,3.372305348
-63.95134727,74.01854591,3.414604597,3.412321647
-64.57159047,74.80295548,3.455849719,3.453529251
-65.19148056,75.58764413,3.496751069,3.494554303
-65.81025744,76.37321091,3.53652109,3.534560699
-66.42725902,77.16017282,3.574477407,3.572848261
-67.04224069,77.94871423,3.610374279,3.609058958
-67.65568329,78.73845354,3.644704208,3.643599057
-68.26794467,79.52910896,3.677833723,3.676961928
-68.87821402,80.32130295,3.708953872,3.708521655
-69.48523263,81.11599055,3.736812839,3.736996442
-70.08876198,81.91333136,3.761181353,3.761859551
-70.69044822,82.71206389,3.783677918,3.784514115
-71.29208824,83.51083124,3.806053977,3.806801809
-71.89456261,84.30896947,3.829207434,3.829809884
-72.49770107,85.10660598,3.853135393,3.853638646
-73.10134399,85.90386079,3.877864338,3.878238488
-73.70606677,86.70029683,3.903890382,3.903995658
-74.31311876,87.49495891,3.931835327,3.931474575
-74.92351754,88.2870532,3.962041421,3.961199694
-75.53619953,89.07738276,3.993820049,3.992759777
-76.14847854,89.86802449,4.026864189,4.025929183
-76.7579682,90.66081851,4.061315847,4.060628168
-77.36590859,91.45480127,4.096740921,4.096034415
-77.97760166,92.24589631,4.129408775,4.128271909
-78.59800689,93.03017762,4.154698599,4.152997838
-79.22770709,93.80701611,4.169197203,4.167258484
-79.86273399,94.57950605,4.173777769,4.172011195
