x,y,wl,wr,slope,friction_coefficient
44.26318528,158.06568100,4.15200534,4.15939441,-1.00000000,-1.00000000
43.26592012,157.99189360,4.13309819,4.13954864,-1.00000000,-1.00000000
42.26795574,157.92806570,4.12108840,4.12703156,-1.00000000,-1.00000000
41.26931256,157.87600940,4.11396586,4.12126795,-1.00000000,-1.00000000
40.26999906,157.83898570,4.10752078,4.11872525,-1.00000000,-1.00000000
39.27022534,157.81767270,4.09874964,4.11420001,-1.00000000,-1.00000000
38.27029193,157.80613130,4.08822836,4.10577577,-1.00000000,-1.00000000
37.27033135,157.79727620,4.07764630,4.09501205,-1.00000000,-1.00000000
36.27037269,157.78815120,4.07030128,4.08600269,-1.00000000,-1.00000000
35.27038780,157.78273840,4.07000406,4.08357826,-1.00000000,-1.00000000
34.27038911,157.78456870,4.07842082,4.09014747,-1.00000000,-1.00000000
33.27042638,157.79315100,4.09158628,4.10345366,-1.00000000,-1.00000000
32.27052221,157.80709680,4.10229983,4.11710677,-1.00000000,-1.00000000
31.27073055,157.82733320,4.10628925,4.12590230,-1.00000000,-1.00000000
30.27117541,157.85704490,4.10529769,4.12332138,-1.00000000,-1.00000000
29.27168909,157.88960370,4.10939053,4.12234549,-1.00000000,-1.00000000
28.27260727,157.93221780,4.11300387,4.12896560,-1.00000000,-1.00000000
27.27339539,157.97193990,4.12122332,4.13841937,-1.00000000,-1.00000000
26.27414812,158.01072180,4.12871790,4.14674315,-1.00000000,-1.00000000
25.27478363,158.04637290,4.13369980,4.15297464,-1.00000000,-1.00000000
24.27526536,158.07740300,4.13483384,4.15611066,-1.00000000,-1.00000000
23.27560794,158.10358100,4.13356977,4.15457644,-1.00000000,-1.00000000
22.27587342,158.12662060,4.13220597,4.15254274,-1.00000000,-1.00000000
21.27611217,158.14847240,4.13186182,4.15162519,-1.00000000,-1.00000000
20.27636792,158.17108580,4.13293988,4.15241201,-1.00000000,-1.00000000
19.27668167,158.19613380,4.13575707,4.15509209,-1.00000000,-1.00000000
18.27707061,158.22402260,4.14037905,4.15956387,-1.00000000,-1.00000000
17.27753614,158.25453110,4.14673736,4.16573492,-1.00000000,-1.00000000
16.27807079,158.28722780,4.15428815,4.17329119,-1.00000000,-1.00000000
15.27863268,158.32074550,4.16143245,4.18081607,-1.00000000,-1.00000000
14.27917436,158.35365560,4.16683601,4.18679613,-1.00000000,-1.00000000
13.27968833,158.38571310,4.17057960,4.19039759,-1.00000000,-1.00000000
12.28018807,158.41732370,4.17360271,4.19349410,-1.00000000,-1.00000000
11.28068107,158.44872050,4.17656347,4.19667483,-1.00000000,-1.00000000
10.28116789,158.47991980,4.17965137,4.19984798,-1.00000000,-1.00000000
9.28165371,158.51108710,4.18282543,4.20296502,-1.00000000,-1.00000000
8.28214155,158.54231910,4.18599003,4.20606167,-1.00000000,-1.00000000
7.28262884,158.57353350,4.18905130,4.20915770,-1.00000000,-1.00000000
6.28311059,158.60457010,4.19198336,4.21222606,-1.00000000,-1.00000000
5.28358288,158.63530060,4.19476818,4.21504790,-1.00000000,-1.00000000
4.28404471,158.66568890,4.19732861,4.21762655,-1.00000000,-1.00000000
3.28450013,158.69586570,4.19970094,4.21999753,-1.00000000,-1.00000000
2.28496418,158.72632660,4.20227067,4.22243261,-1.00000000,-1.00000000
1.28544891,158.75745900,4.20560032,4.22565046,-1.00000000,-1.00000000
0.28595806,158.78936590,4.21009763,4.22976836,-1.00000000,-1.00000000
-0.71350761,158.82205170,4.21596303,4.23521867,-1.00000000,-1.00000000
-1.71294428,158.85561270,4.22280230,4.24188517,-1.00000000,-1.00000000
-2.71238809,158.88896210,4.22922739,4.24844033,-1.00000000,-1.00000000
-3.71190290,158.92010500,4.23364871,4.25314153,-1.00000000,-1.00000000
-4.71152778,158.94749520,4.23579868,4.25526538,-1.00000000,-1.00000000
-5.71121978,158.97231430,4.23730599,4.25647448,-1.00000000,-1.00000000
-6.71091483,158.99700420,4.23940259,4.25843556,-1.00000000,-1.00000000
-7.71059074,159.02247020,4.24092207,4.26058645,-1.00000000,-1.00000000
-8.71033556,159.04505580,4.23842704,4.25891557,-1.00000000,-1.00000000
-9.71023545,159.05916790,4.23092517,4.25113240,-1.00000000,-1.00000000
-10.71022795,159.06315090,4.22158601,4.23989625,-1.00000000,-1.00000000
-11.71022623,159.06129970,4.21586640,4.23138094,-1.00000000,-1.00000000
-12.71022143,159.05819590,4.21558321,4.22877242,-1.00000000,-1.00000000
-13.71020142,159.05181120,4.21752469,4.22905208,-1.00000000,-1.00000000
-14.71007952,159.03628240,4.21776085,4.22772751,-1.00000000,-1.00000000
-15.70969535,159.00853510,4.21658842,4.22412954,-1.00000000,-1.00000000
-16.70910504,158.97417390,4.21905612,4.22379374,-1.00000000,-1.00000000
-17.70858456,158.94193300,4.22678909,4.23092405,-1.00000000,-1.00000000
-18.70817633,158.91341000,4.23684822,4.23959612,-1.00000000,-1.00000000
-19.70772116,158.88310760,4.24535348,4.25191568,-1.00000000,-1.00000000
-20.70678500,158.84159240,4.25355373,4.25882206,-1.00000000,-1.00000000
