x,y,wl,wr
-105.8699113,126.2588382,3.949341629,3.940685699
-106.4105712,127.0998303,3.987918568,3.975400922
-106.913286,127.9643859,3.985016966,3.98750687
-107.3981793,128.8389606,3.991737021,3.987072638
-107.8850591,129.7124112,3.998933064,3.990206377
-108.3791046,130.5818666,3.995166547,3.98617541
-108.8520504,131.4628413,3.984830394,4.018332786
-109.3041859,132.3553963,4.010261821,4.043020879
-109.7209328,133.2649093,4.041957287,4.051768037
-110.078308,134.1984969,4.04151692,4.054909621
-110.4224807,135.1374777,4.011315031,4.02934442
-110.7900722,136.0674106,3.997405621,4.004537614
-111.1426626,137.0035482,4.007807977,4.009780381
-111.4414206,137.95787,4.031816516,3.999326879
-111.672127,138.9308459,3.985735386,3.974550892
-111.8736598,139.9105315,3.968878908,3.971160414
-112.0574007,140.8935122,3.97658022,3.997890287
-112.2350455,141.8776063,4.007950457,4.032721985
-112.4152311,142.8612774,4.047111693,4.052538113
-112.5782924,143.847835,4.068123131,4.067465172
-112.7264646,144.8368245,4.073464217,4.075811303
-112.8680567,145.8267389,4.072258861,4.075433233
-113.0008276,146.8178884,4.066791144,4.071054778
-113.1292845,147.8096046,4.058291949,4.062887799
-113.2594322,148.8010941,4.046167349,4.050619563
-113.394723,149.7919196,4.033749495,4.037324644
-113.525247,150.7832795,4.025294602,4.031379111
-113.6412964,151.776626,4.024289928,4.032159207
-113.7279976,152.7728091,4.038438478,4.038500267
-113.7413188,153.7724636,4.022429301,4.012802046
-113.7044264,154.772768,3.964238662,3.984042853
-113.6482999,155.7711555,3.916739747,3.935137334
-113.5758764,156.7685408,3.889835731,3.898879758
-113.4980821,157.7655072,3.87886231,3.882780912
-113.4088477,158.7615188,3.86998125,3.876895793
-113.2955023,159.7550722,3.855272686,3.868381091
-113.1526739,160.7448226,3.8409772,3.855262383
-112.9895177,161.7314183,3.841963622,3.848780503
-112.8160081,162.7162662,3.864760308,3.863659392
-112.6280317,163.6986784,3.903163493,3.891513845
-112.3937368,164.6705893,3.89520751,3.882440961
-112.1229984,165.6333619,3.887614656,3.884875392
-111.8502032,166.5953953,3.896966834,3.90414728
-111.582386,167.5588852,3.91833151,3.925460862
-111.2973087,168.5174133,3.92811464,3.92845014
-110.9756105,169.4643424,3.923315298,3.924253165
-110.6217668,170.3996483,3.921187206,3.924065456
-110.2586055,171.3313762,3.943307546,3.944806597
-109.8901285,172.2610057,3.980212835,3.984071853
-109.4862229,173.1759229,3.995618139,4.015888801
-109.0469598,174.0746017,3.985545229,3.997661114
-108.5850342,174.9615123,3.961150507,3.963594376
-108.1240774,175.8489369,3.952898243,3.94805772
-107.66006,176.7347,3.952739568,3.939066031
-107.1804518,177.6122515,3.948507598,3.958175233
-106.6925616,178.4850616,3.959426184,3.983727312
-106.191901,179.3509996,3.983946476,3.999561637
-105.6661613,180.2014963,4.000022918,3.999878679
-105.0971245,181.0237467,3.992984869,3.998771557
-104.5099884,181.8334792,3.97970528,3.990312261
-103.9139788,182.6363858,3.970853798,3.981254829
-103.3020625,183.4273478,3.967163256,3.977713337
-102.6708564,184.2029015,3.963084421,3.979504721
-102.0280916,184.9690153,3.949560558,3.974036046
-101.3895304,185.7385793,3.928378678,3.962578338
-100.7556094,186.5119918,3.916701382,3.940045429
-100.1031157,187.2697569,3.933992084,3.905763798
-99.40207077,187.9830767,3.892832449,3.882097135
-98.65975806,188.6534819,3.870514964,3.873377179
-97.88930872,189.2908727,3.873949366,3.878590659
-97.10976013,189.9172684,3.879448429,3.884682489
-96.33638646,190.5511883,3.873788784,3.878092694
-95.56533692,191.1879912,3.863768055,3.868497589
-94.78449438,191.8126906,3.867210082,3.873643021
-93.99111592,192.421425,3.889074383,3.896732159
-93.19407557,193.0253599,3.91858346,3.925782585
-92.40025772,193.633487,3.942082431,3.949863124
-91.61034751,194.246835,3.963369294,3.965628038
-90.81289257,194.8501387,3.995319251,3.985162674
-89.99240633,195.4218178,4.024674016,4.021568345
-89.15271879,195.9648849,4.02615452,4.026015796
-88.30344577,196.4928381,4.033497022,4.026211954
-87.45445391,197.0212418,4.037545092,4.025074499
-86.6055176,197.5497339,4.032396442,4.025711606
-85.74872155,198.0653916,4.028770081,4.046535996
-84.88543185,198.5700984,4.046617597,4.084078874
-84.02104733,199.0729366,4.085722077,4.12264948
-83.15980448,199.5812674,4.129579934,4.137307941
-82.28694823,200.0690124,4.143589968,4.140423663
-81.40430958,200.5391699,4.142527386,4.139633867
