x,y,wl,wr,alphas_left,alphas_right
669.2850549,-139.6066648,5.022986385,5.030547419,7.58E-02,0.00E+00
670.2849802,-139.6134242,5.051155781,5.062572614,4.53E-02,0.00E+00
671.2848975,-139.6354571,5.087819851,5.095657009,1.80E-02,0.00E+00
672.2834686,-139.6862866,5.116704521,5.126272702,0.00E+00,3.73E-03
673.2790654,-139.7816858,5.135313468,5.155828271,0.00E+00,1.70E-02
674.2705406,-139.9126471,5.142082479,5.148151561,0.00E+00,2.46E-02
675.2582144,-140.0689699,5.148691038,5.152628308,0.00E+00,2.91E-02
676.2416334,-140.2512513,5.176809798,5.166943218,0.00E+00,3.16E-02
677.2156611,-140.4782472,5.201225146,5.18749732,0.00E+00,2.97E-02
678.1725218,-140.7686555,5.187304461,5.196096242,0.00E+00,2.07E-02
679.1137401,-141.1071802,5.192512316,5.205911808,0.00E+00,8.35E-03
680.0473292,-141.4656953,5.221293301,5.228956593,6.73E-04,0.00E+00
680.974589,-141.8401742,5.259520732,5.244768155,4.81E-03,0.00E+00
681.8843218,-142.2550585,5.277269299,5.258170898,9.27E-03,0.00E+00
682.7817394,-142.6967232,5.267404647,5.263817904,1.18E-02,0.00E+00
683.6708056,-143.1543393,5.259683853,5.27112298,1.04E-02,0.00E+00
684.5462563,-143.637883,5.263630381,5.280779144,7.39E-03,0.00E+00
685.4020141,-144.1554273,5.280762757,5.279291195,4.73E-03,0.00E+00
686.2311749,-144.7143719,5.29910675,5.281812815,4.07E-03,0.00E+00
687.0407574,-145.3016136,5.307139259,5.290798009,2.64E-03,0.00E+00
687.8384818,-145.9046925,5.306424882,5.306316912,0.00E+00,1.85E-03
688.6195065,-146.5292748,5.306158806,5.316499063,0.00E+00,7.44E-03
689.3709311,-147.1892255,5.304036025,5.304654191,0.00E+00,1.02E-02
690.0878733,-147.886581,5.311027866,5.300812886,0.00E+00,9.09E-03
690.7706561,-148.6173514,5.316067769,5.305197131,0.00E+00,4.57E-03
691.422962,-149.3753192,5.295432759,5.306082701,1.59E-03,0.00E+00
692.0513927,-150.1531896,5.291966837,5.299936483,7.06E-03,0.00E+00
692.6615604,-150.9455402,5.298643679,5.301911978,9.95E-03,0.00E+00
693.2540743,-151.7510222,5.31416877,5.313986587,9.96E-03,0.00E+00
693.8300672,-152.5686841,5.34161474,5.331305157,6.92E-03,0.00E+00
694.3838414,-153.4013909,5.370504833,5.348881207,2.30E-03,0.00E+00
694.8959668,-154.2601847,5.363079269,5.376318672,3.90E-04,0.00E+00
695.3879836,-155.1310666,5.378051095,5.401895319,0.00E+00,3.62E-03
695.8453066,-156.0201992,5.397005979,5.400273177,0.00E+00,6.76E-03
696.2492175,-156.9355055,5.412076542,5.40458826,0.00E+00,5.30E-03
696.6043415,-157.8707247,5.403141238,5.397871812,0.00E+00,4.86E-04
696.9261781,-158.8174561,5.37572284,5.382608137,4.59E-03,0.00E+00
697.2331545,-159.7692631,5.367997844,5.378166404,6.52E-03,0.00E+00
697.5203351,-160.7271606,5.368891141,5.371686433,5.98E-03,0.00E+00
697.772381,-161.6948183,5.36365209,5.365585803,5.55E-03,0.00E+00
698.0032837,-162.6678611,5.355119572,5.356287502,2.35E-03,0.00E+00
698.2181766,-163.6446654,5.36334311,5.349509633,0.00E+00,4.42E-03
698.3917384,-164.6296124,5.352421601,5.352859801,0.00E+00,9.64E-03
698.5001272,-165.623602,5.314983681,5.319390247,0.00E+00,8.64E-03
698.558352,-166.6222771,5.302354096,5.298819771,0.00E+00,4.15E-03
698.5792099,-167.6219211,5.323021113,5.300667664,1.04E-03,0.00E+00
698.5717212,-168.6219977,5.318325588,5.322450752,4.76E-03,0.00E+00
698.5484695,-169.6217203,5.334401373,5.343922204,4.68E-03,0.00E+00
698.4925649,-170.6201893,5.339371337,5.347465316,4.26E-03,0.00E+00
698.3998052,-171.6159517,5.335669358,5.336853683,4.78E-03,0.00E+00
698.2715518,-172.6076915,5.338712292,5.329814746,6.15E-03,0.00E+00
698.1104619,-173.5946987,5.359744846,5.334333358,7.72E-03,0.00E+00
697.9223652,-174.5768473,5.360980412,5.354262932,8.07E-03,0.00E+00
697.7166731,-175.5555113,5.37286742,5.376304826,5.32E-03,0.00E+00
697.4853084,-176.5284203,5.367769814,5.373474509,1.03E-03,0.00E+00
697.217145,-177.4918908,5.333791096,5.347932867,0.00E+00,2.86E-03
696.9084466,-178.4430465,5.295909417,5.323640695,0.00E+00,5.56E-03
696.5630157,-179.3817246,5.29569201,5.300377669,0.00E+00,7.52E-03
696.1707667,-180.3013251,5.271078664,5.26814972,0.00E+00,6.37E-03
695.7258254,-181.1971583,5.260788345,5.264074457,0.00E+00,6.17E-04
695.2568676,-182.0804564,5.2779387,5.27824664,3.93E-03,0.00E+00
694.7736469,-182.9559046,5.298046414,5.295065841,5.22E-03,0.00E+00
694.2754718,-183.8232663,5.319839515,5.305304653,3.29E-03,0.00E+00
693.7497419,-184.6734907,5.334028797,5.31814671,8.94E-04,0.00E+00
693.192796,-185.5051751,5.326320531,5.338319019,0.00E+00,1.51E-03
692.6038272,-186.3159623,5.327642102,5.350491874,0.00E+00,3.79E-03
691.9603344,-187.0810572,5.314992928,5.339670979,8.83E-05,0.00E+00
691.2550361,-187.7900673,5.246333614,5.282176705,1.26E-02,0.00E+00
690.5748402,-188.5225668,5.239976514,5.234224374,1.11E-02,0.00E+00
689.8761637,-189.2375915,5.22291438,5.222374608,7.01E-03,0.00E+00
689.1571049,-189.9334793,5.209765353,5.218696961,9.60E-04,0.00E+00
