x,y,wl,wr,slope,friction_coefficient
186.2567004,-222.7031437,4.74830092,4.75552157,-1,-1
185.5907873,-221.9571134,4.72679125,4.72621162,-1,-1
184.9305564,-221.2060503,4.70658132,4.70213387,-1,-1
184.2732137,-220.4524586,4.68717329,4.68069685,-1,-1
183.6172856,-219.6976352,4.66754799,4.66053986,-1,-1
182.9614698,-218.9427143,4.64689099,4.64050154,-1,-1
182.3049216,-218.1884302,4.6250851,4.61993463,-1,-1
181.6470739,-217.4352791,4.60192653,4.59854903,-1,-1
180.9877062,-216.6834587,4.57914036,4.57604196,-1,-1
180.3290575,-215.931008,4.56028604,4.55345896,-1,-1
179.6747777,-215.1747543,4.54738405,4.5331988,-1,-1
179.0275154,-214.4124894,4.53968122,4.51843016,-1,-1
178.3850522,-213.6461718,4.53566974,4.51196676,-1,-1
177.7428065,-212.8796726,4.53148824,4.51452787,-1,-1
177.0975565,-212.1157019,4.53665986,4.52430135,-1,-1
176.4498853,-211.3537816,4.54722768,4.53665266,-1,-1
175.8018473,-210.5921737,4.55930522,4.5483142,-1,-1
175.1545333,-209.8299503,4.57033887,4.55825215,-1,-1
174.5078258,-209.0672121,4.58001265,4.5675665,-1,-1
173.8613296,-208.3042949,4.58928298,4.57708012,-1,-1
173.2147445,-207.5414531,4.59894526,4.58722078,-1,-1
172.5676643,-206.779031,4.60941575,4.59797932,-1,-1
171.9196566,-206.0173973,4.62056983,4.60888857,-1,-1
171.2711068,-205.2562251,4.63127707,4.61815592,-1,-1
170.6229719,-204.4946995,4.63974272,4.62387725,-1,-1
169.9759685,-203.7322125,4.64401216,4.62516592,-1,-1
169.3295461,-202.9692327,4.64220425,4.62367143,-1,-1
168.6829172,-202.2064279,4.63950764,4.62144753,-1,-1
168.0357082,-201.4441154,4.63782323,4.6200028,-1,-1
167.388328,-200.6819481,4.6371063,4.61903608,-1,-1
166.7412237,-199.9195467,4.63634863,4.61794345,-1,-1
166.0944967,-199.1568251,4.63499205,4.61649678,-1,-1
165.447647,-198.3942076,4.63349004,4.61553384,-1,-1
164.7999667,-197.6322953,4.63290545,4.61578904,-1,-1
164.1514134,-196.8711262,4.63364287,4.6165144,-1,-1
163.5036536,-196.1092814,4.63384028,4.61472948,-1,-1
162.8589962,-195.3448097,4.63039719,4.60794777,-1,-1
162.218549,-194.5768081,4.62159627,4.59612217,-1,-1
161.5810879,-193.8063253,4.60970627,4.58256732,-1,-1
160.944944,-193.0347549,4.59756909,4.57036388,-1,-1
160.3094678,-192.2626343,4.58562109,4.56121168,-1,-1
159.6751236,-191.4895836,4.57637671,4.55443318,-1,-1
159.0422145,-190.7153575,4.56945982,4.54904447,-1,-1
158.4105675,-189.9401014,4.56389583,4.54432148,-1,-1
157.7796425,-189.1642575,4.55921668,4.54021593,-1,-1
157.1488624,-188.388296,4.55527955,4.53664636,-1,-1
156.5178979,-187.6124843,4.55186452,4.53317557,-1,-1
155.886923,-186.8366809,4.54825865,4.52913801,-1,-1
155.256436,-186.0604811,4.54385616,4.52429703,-1,-1
154.6263796,-185.2839318,4.53896866,4.5195561,-1,-1
153.9956818,-184.5079032,4.53495269,4.51659752,-1,-1
153.3628963,-183.7335761,4.53334339,4.51655443,-1,-1
152.7275446,-182.9613534,4.53444338,4.51881477,-1,-1
152.090617,-182.1904296,4.53701538,4.52163683,-1,-1
151.4535054,-181.4196581,4.53956113,4.52382268,-1,-1
150.8169141,-180.6484567,4.54139543,4.52524996,-1,-1
150.1807196,-179.876928,4.54272444,4.52652509,-1,-1
149.5446516,-179.105295,4.54400736,4.52805995,-1,-1
148.9086844,-178.3335789,4.54555692,4.53004219,-1,-1
148.2727098,-177.5618689,4.54764729,4.5321854,-1,-1
147.6363463,-176.7904796,4.5500051,4.53391896,-1,-1
146.9990669,-176.0198468,4.55201351,4.5346384,-1,-1
146.3607936,-175.2500369,4.55280877,4.53428636,-1,-1
145.7219726,-174.4806815,4.55236792,4.53337639,-1,-1
145.0831668,-173.7113135,4.55131932,4.53252586,-1,-1
144.4445789,-172.9417646,4.55045062,4.53195554,-1,-1
143.8061034,-172.1721224,4.54992064,4.53153994,-1,-1
143.1675992,-171.4025041,4.54954672,4.53110435,-1,-1
142.5290352,-170.6329354,4.54911334,4.53058686,-1,-1
141.8904505,-169.8633839,4.54858333,4.53001502,-1,-1
141.2518664,-169.0938318,4.54801071,4.5294554,-1,-1
140.6132751,-168.3242857,4.54746658,4.52896675,-1,-1
139.9746646,-167.5547556,4.54699858,4.52856006,-1,-1
139.3360942,-166.7851922,4.54656286,4.52811929,-1,-1
138.697615,-166.0155532,4.5460724,4.52746031,-1,-1
138.0592124,-165.2458505,4.54536565,4.52653133,-1,-1
137.4206271,-164.4762994,4.54457448,4.52578228,-1,-1
136.781676,-163.7070521,4.54402927,4.52590045,-1,-1
136.1423881,-162.9380846,4.54442524,4.52749789,-1,-1
135.5027935,-162.1693722,4.54636821,4.53029753,-1,-1
134.8621164,-161.4015618,4.54989437,4.53303753,-1,-1
134.2191616,-160.6356576,4.55343928,4.53399984,-1,-1
133.5733354,-159.8721733,4.55000141,4.53221339,-1,-1
132.9252045,-159.1106443,4.54389767,4.52797194,-1,-1
132.2756478,-158.3503312,4.53693664,4.52206889,-1,-1
131.6253143,-157.5906823,4.52965571,4.51524503,-1,-1
130.9746926,-156.8312803,4.52261756,4.50808437,-1,-1
130.3242676,-156.0717099,4.51603739,4.50114642,-1,-1
129.6740437,-155.3119672,4.50924497,4.49444711,-1,-1
129.0235661,-154.5524417,4.50151554,4.48747997,-1,-1
128.3723511,-153.7935485,4.49328087,4.47969091,-1,-1
127.7211206,-153.0346685,4.48671917,4.47184166,-1,-1
127.0714321,-152.2744677,4.48367997,4.46566966,-1,-1
126.4247531,-151.5117059,4.48438578,4.46268821,-1,-1
125.7811244,-150.7463678,4.48192737,4.4626394,-1,-1
125.1398237,-149.9790782,4.48163877,4.46435078,-1,-1
124.5000947,-149.2104776,4.48320473,4.46698117,-1,-1
123.8612063,-148.4411782,4.48582877,4.47018076,-1,-1
123.2224249,-147.6717899,4.4892013,4.47359546,-1,-1
122.5833558,-146.9026406,4.49271919,4.47690627,-1,-1
121.9440869,-146.1336573,4.49599624,4.48006634,-1,-1
121.3048131,-145.3646781,4.49909969,4.48317632,-1,-1
120.6655804,-144.5956647,4.50219216,4.48628681,-1,-1
120.026324,-143.8266711,4.505319,4.48938475,-1,-1
119.3869774,-143.0577524,4.50843397,4.49243031,-1,-1
118.747616,-142.288846,4.51142482,4.4954402,-1,-1
118.1084091,-141.5198112,4.51433813,4.49850913,-1,-1
117.4694212,-140.7505944,4.51736179,4.501708,-1,-1
116.8303024,-139.9814864,4.52074851,4.50492905,-1,-1
116.1904548,-139.2129846,4.52427687,4.50780662,-1,-1
115.5499593,-138.4450228,4.52709881,4.51026296,-1,-1
114.910369,-137.6763066,4.52869498,4.51291145,-1,-1
114.2738007,-136.9050863,4.53007457,4.51697738,-1,-1
113.6411256,-136.1306693,4.53321702,4.52319935,-1,-1
113.0114485,-135.3538121,4.53917732,4.53166021,-1,-1
112.3834168,-134.5756244,4.54768631,4.54195274,-1,-1
111.7559148,-133.7970094,4.55823574,4.55331593,-1,-1
111.1280781,-133.0186643,4.56991135,4.56468359,-1,-1
110.499447,-132.2409608,4.5814146,4.57531451,-1,-1
109.8710552,-131.4630635,4.59139029,4.58584599,-1,-1
109.2448607,-130.6833967,4.60096529,4.59800582,-1,-1
108.6206245,-129.9021619,4.61336408,4.61185778,-1,-1
107.9934512,-129.1232792,4.62980852,4.62395527,-1,-1
107.35675,-128.3521717,4.64540846,4.62881775,-1,-1
106.709473,-127.5899178,4.63700366,4.62533327,-1,-1
106.0566161,-126.832435,4.62799563,4.61722973,-1,-1
105.4042077,-126.074568,4.62326479,4.60967276,-1,-1
104.754174,-125.3146626,4.61940898,4.60409262,-1,-1
104.1052165,-124.5538378,4.614028,4.59899882,-1,-1
103.4558475,-123.7933644,4.6070483,4.59261195,-1,-1
102.8063303,-123.0330175,4.60080506,4.58570004,-1,-1
102.1574519,-122.2721254,4.59748701,4.58092248,-1,-1
101.5094744,-121.510466,4.59818475,4.58047107,-1,-1
100.8617624,-120.7485807,4.6019437,4.58408701,-1,-1
100.2141676,-119.9865957,4.60582425,4.58971918,-1,-1
99.56705856,-119.2241983,4.61134262,4.59581208,-1,-1
98.92065907,-118.4611992,4.61716927,4.60171662,-1,-1
98.27454625,-117.6979572,4.6231059,4.6075005,-1,-1
97.62830772,-116.9348217,4.62892663,4.61324148,-1,-1
96.98197788,-116.1717636,4.63463216,4.61913779,-1,-1
96.33585968,-115.4085262,4.64040415,4.62526157,-1,-1
95.68986204,-114.6451868,4.64658559,4.63130657,-1,-1
95.04341007,-113.8822321,4.65287434,4.63680373,-1,-1
94.39574219,-113.1203094,4.65800605,4.64147559,-1,-1
93.74635649,-112.3598501,4.65981024,4.64523856,-1,-1
93.09527894,-111.600839,4.66058601,4.64737154,-1,-1
92.44362029,-110.8423266,4.66113467,4.6470693,-1,-1
91.79389602,-110.0821563,4.6630645,4.64511361,-1,-1
91.14861438,-109.3182119,4.66365747,4.64390726,-1,-1
90.50835263,-108.5500553,4.66131862,4.64522709,-1,-1
89.87170871,-107.7788973,4.66233559,4.64869907,-1,-1
89.23690275,-107.0062256,4.66577699,4.65321537,-1,-1
88.60304161,-106.2327788,4.67016027,4.65842574,-1,-1
87.9700344,-105.4586328,4.67516396,4.66473481,-1,-1
87.33819627,-104.6835326,4.68126628,4.67247957,-1,-1
86.70639932,-103.9083987,4.68965142,4.68040361,-1,-1
86.07214742,-103.1352714,4.69882272,4.68585913,-1,-1
85.43275168,-102.3663949,4.70576093,4.68615589,-1,-1
84.78859096,-101.6015044,4.69919857,4.68169178,-1,-1
84.14231541,-100.8384,4.69266896,4.67502198,-1,-1
83.49688837,-100.0745783,4.68802411,4.66839479,-1,-1
82.85330059,-99.30920597,4.68316735,4.66205465,-1,-1
82.211038,-98.5427213,4.67696876,4.65528584,-1,-1
81.56922458,-97.77586045,4.66945267,4.64774357,-1,-1
80.92753815,-97.00889336,4.66154894,4.63963184,-1,-1
80.28610956,-96.2417106,4.65376756,4.63141977,-1,-1
79.64506818,-95.4742043,4.64597977,4.62337329,-1,-1
79.00407788,-94.70665531,4.63745811,4.61529298,-1,-1
78.36249789,-93.93959916,4.62796165,4.60670864,-1,-1
77.72011618,-93.17321439,4.61876399,4.5976147,-1,-1
77.07801665,-92.40659299,4.61243308,4.58928518,-1,-1
