x,y,wl,wr
-36.94013785,116.5341568,4.581312288,4.572201517
-36.24365827,115.8165518,4.579758384,4.571473817
-35.5461499,115.0999833,4.577366841,4.57032365
-34.84737271,114.3846417,4.573597548,4.567529685
-34.14724487,113.6706247,4.567560293,4.562839983
-33.44534906,112.958345,4.55941821,4.55663414
-32.74121074,112.2482821,4.549648828,4.549453134
-32.03430373,111.5409758,4.539164776,4.542292404
-31.32432139,110.836756,4.530057295,4.537105078
-30.6111403,110.1357766,4.524632552,4.535464907
-29.89545597,109.4373525,4.52308763,4.53597868
-29.1785727,108.7401593,4.522910588,4.536108944
-28.46152682,108.0431333,4.521628417,4.534469827
-27.74446335,107.3461255,4.518955214,4.531889806
-27.02718699,106.6493367,4.515907394,4.529078622
-26.30976014,105.9527028,4.513221826,4.526507659
-25.59234465,105.2560573,4.510897997,4.524138455
-24.87499584,104.5593431,4.508621927,4.521821423
-24.15766026,103.8626152,4.506197009,4.519413784
-23.44027366,103.1659399,4.503614497,4.51690368
-22.72280882,102.4693452,4.500944406,4.514316009
-22.00526792,101.7728288,4.498236034,4.511667249
-21.28770214,101.0763381,4.495581109,4.508990558
-20.57020376,100.3797779,4.493073756,4.506374573
-19.85286316,99.68305528,4.490784755,4.503924108
-19.13570791,98.98614184,4.488691834,4.501683732
-18.41871919,98.28905706,4.486771164,4.499636641
-17.70186457,97.59183439,4.484954185,4.497755457
-16.98503674,96.89458418,4.483048099,4.495931642
-16.26806408,96.19748289,4.4808765,4.493964171
-15.55088282,95.50059622,4.478578212,4.491729761
-14.83381373,94.80359411,4.476802224,4.489536097
-14.11739816,94.10592031,4.476092863,4.488012974
-13.40195397,93.40725046,4.476515825,4.487613113
-12.68732814,92.70774353,4.477652704,4.488250678
-11.97317848,92.00775048,4.479206139,4.489533428
-11.25929307,91.30748795,4.480952888,4.491070202
-10.54561755,90.6070115,4.482736575,4.492620023
-9.832125228,89.90634845,4.484380585,4.494147612
-9.118677254,89.20564024,4.486101533,4.496010492
-8.405133766,88.5050293,4.488437482,4.498661656
-7.691442091,87.80456932,4.491846973,4.50236526
-6.977658685,87.1042028,4.49603899,4.506682266
-6.263779685,86.40393373,4.500235572,4.510988943
-5.549684703,85.7038849,4.503776043,4.514787098
-4.835114193,85.00432148,4.506317822,4.517926525
-4.119729275,84.30559088,4.507682213,4.520178744
-3.403298982,83.60793226,4.507943604,4.521305238
-2.68608767,82.91107648,4.507787222,4.521503097
-1.968669738,82.21443345,4.507789379,4.521398357
-1.251471668,81.51756409,4.508147279,4.521510188
-0.534445116,80.82051822,4.508440071,4.521836106
0.182724388,80.12361945,4.508371654,4.522002586
0.900140942,79.42697501,4.508166908,4.521872381
1.617429147,78.73019838,4.508637758,4.521881288
2.333979656,78.03266319,4.51044111,4.522816415
3.049489136,77.3340602,4.51363329,4.525198465
3.764163962,76.63460332,4.51783154,4.528947935
4.478367265,75.93466501,4.522765033,4.533682529
5.192360755,75.23451267,4.528062229,4.53892808
5.906343547,74.53434942,4.533286112,4.544260281
6.620553904,73.83441831,4.538064771,4.549257837
7.334950967,73.13467778,4.54282007,4.553922298
8.049050406,72.4346334,4.548400955,4.558798473
8.762138203,71.73355883,4.555341114,4.564820096
9.474619727,71.03186797,4.561872419,4.571806732
10.18843297,70.33153123,4.565152122,4.577710391
10.90598971,69.63503204,4.562962096,4.579565537
11.62788032,68.94302499,4.556483421,4.576086442
12.35238883,68.25375883,4.548295688,4.568906636
13.07742561,67.56504873,4.540672699,4.560807996
13.8013047,66.8751217,4.53626226,4.554630784
14.52234044,66.18222381,4.537780734,4.553012701
15.2393721,65.48518373,4.544510021,4.555954354
15.95265444,64.78430657,4.552174522,4.55997078
16.66299916,64.08045284,4.556628353,4.561346496
17.37154681,63.37478976,4.556652793,4.560017041
18.07972848,62.66875942,4.554116962,4.558036642
18.78890104,61.96372459,4.551065747,4.556664525
19.49972189,61.26035144,4.547078859,4.554220791
20.21241661,60.55887712,4.539708203,4.548380527
20.92749734,59.85983512,4.526935985,4.538112705
21.64591376,59.16422183,4.510811209,4.526320668
22.36859462,58.47303996,4.495475306,4.516378619
23.09540944,57.78620731,4.484590569,4.509043731
23.82332314,57.10053816,4.480022643,4.502010018
24.54674806,56.41012561,4.480620721,4.497535728
25.26654757,55.71600131,4.481212728,4.498096341
25.99054068,55.02599403,4.470857934,4.497738616
